id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2520673504,https://www.vivareal.com.br/imovel/apartamento-2-quartos-balneario-do-estreito-bairros-florianopolis-com-garagem-75m2-aluguel-RS2800-id-2520673504/,"Apartamento com 2 Quartos para Aluguel, 75m²","Rua Coronel Pedro Demoro, 1507 - Balneario do Estreito, Florianópolis - SC",75,2 Quartos,2 Banheiros,1 Vaga,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",R$ 2.800 /mês,,Florianópolis,2021-05-24 01:25
2512632181,https://www.vivareal.com.br/imovel/apartamento-2-quartos-corrego-grande-bairros-florianopolis-com-garagem-65m2-aluguel-RS1700-id-2512632181/,"Apartamento com 2 Quartos para Aluguel, 65m²","Rua Maestro Aldo Krieger, 54 - Córrego Grande, Florianópolis - SC",65,2 Quartos,2 Banheiros,1 Vaga,"Elevador
Salão de festas
Ar-condicionado
Cozinha americana
Portão eletrônico",R$ 1.700 /mês,R$ 740,Florianópolis,2021-05-24 01:25
2517219101,https://www.vivareal.com.br/imovel/apartamento-1-quartos-pantanal-bairros-florianopolis-35m2-aluguel-RS1400-id-2517219101/,"Apartamento com Quarto para Aluguel, 35m²","Rua Maria Eduarda, 33 - Pantanal, Florianópolis - SC",35,1 Quarto,1 Banheiro,-- Vaga,"Mobiliado
Elevador
Ar-condicionado
Condomínio fechado
Spa",R$ 1.400 /mês,R$ 300,Florianópolis,2021-05-24 01:25
2518663689,https://www.vivareal.com.br/imovel/apartamento-1-quartos-rio-tavares-bairros-florianopolis-com-garagem-70m2-aluguel-RS1900-id-2518663689/,"Apartamento com Quarto para Aluguel, 70m²","Servidão Manoel Isidoro Augusto, 560 - Rio Tavares, Florianópolis - SC",70,1 Quarto,1 Banheiro,1 Vaga,"Jardim
Sistema de alarme
Cozinha americana",R$ 1.900 /mês,,Florianópolis,2021-05-24 01:25
2516104017,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jurere-internacional-bairros-florianopolis-com-garagem-250m2-aluguel-RS5200-id-2516104017/,"Apartamento com 4 Quartos para Aluguel, 250m²","Avenida dos Búzios, 3147 - Jurerê Internacional, Florianópolis - SC",250,4 Quartos,3 Banheiros,2 Vagas,"Mobiliado
Elevador
Churrasqueira
Salão de festas
Ar-condicionado",R$ 5.200 /mês,R$ 1.200,Florianópolis,2021-05-24 01:25
2490117180,https://www.vivareal.com.br/imovel/apartamento-1-quartos-itacorubi-bairros-florianopolis-20m2-aluguel-RS1200-id-2490117180/,"Apartamento com Quarto para Aluguel, 20m²","Servidão do Palmeiras, 165 - Itacorubi, Florianópolis - SC",20,1 Quarto,1 Banheiro,-- Vaga,"Mobiliado
Ar-condicionado
Condomínio fechado
Portão eletrônico",R$ 1.200 /mês,,Florianópolis,2021-05-24 01:25
2478601897,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jurere-bairros-florianopolis-45m2-aluguel-RS1400-id-2478601897/,"Apartamento com Quarto para Aluguel, 45m²","Rua Jorge Cherem, 184 - Jurerê, Florianópolis - SC",45,1 Quarto,1 Banheiro,-- Vaga,"Mobiliado
Piscina
Jardim
Ar-condicionado
TV a cabo",R$ 1.400 /mês,,Florianópolis,2021-05-24 01:25
2519612683,https://www.vivareal.com.br/imovel/apartamento-2-quartos-carvoeira-bairros-florianopolis-com-garagem-53m2-aluguel-RS3000-id-2519612683/,"Apartamento com 2 Quartos para Aluguel, 53m²","Avenida César Seara - Carvoeira, Florianópolis - SC",53,2 Quartos,2 Banheiros,1 Vaga,"Mobiliado
Elevador
Salão de festas
Academia
Ar-condicionado",R$ 3.000 /mês,R$ 1,Florianópolis,2021-05-24 01:25
2518936408,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-58m2-venda-RS320000-id-2518936408/,Apartamento com Quarto para Venda/Aluguel 58m²,"Rua Clorinda Ventimiglia, 550 - Cachoeira do Bom Jesus, Florianópolis - SC",58,1 Quarto,1 Banheiro,1 Vaga,"Elevador
Condomínio fechado","R$ 1.600 /mês
R$ 320.000",R$ 300,Florianópolis,2021-05-24 01:25
2516682504,https://www.vivareal.com.br/imovel/apartamento-3-quartos-estreito-bairros-florianopolis-com-garagem-120m2-aluguel-RS3500-id-2516682504/,"Apartamento com 3 Quartos para Aluguel, 120m²","Rua Libia Cruz - Estreito, Florianópolis - SC",120,3 Quartos,2 Banheiros,2 Vagas,Piscina,R$ 3.500 /mês,R$ 350,Florianópolis,2021-05-24 01:25
2520075872,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-118m2-aluguel-RS1400-id-2520075872/,"Apartamento com 3 Quartos para Aluguel, 118m²","Avenida Prefeito Osmar Cunha - Centro, Florianópolis - SC",118,3 Quartos,2 Banheiros,1 Vaga,"Elevador
Varanda",R$ 1.400 /mês,R$ 1.100,Florianópolis,2021-05-24 01:25
2517728541,https://www.vivareal.com.br/imovel/apartamento-3-quartos-itacorubi-bairros-florianopolis-63m2-aluguel-RS1500-id-2517728541/,"Apartamento com 3 Quartos para Aluguel, 63m²","Rodovia Admar Gonzaga - Itacorubi, Florianópolis - SC",63,3 Quartos,1 Banheiro,-- Vaga,,R$ 1.500 /mês,R$ 480,Florianópolis,2021-05-24 01:25
2515102684,https://www.vivareal.com.br/imovel/apartamento-4-quartos-beira-mar-bairros-florianopolis-com-garagem-316m2-aluguel-RS22000-id-2515102684/,"Apartamento com 4 Quartos para Aluguel, 316m²","Beira Mar, Florianópolis - SC",316,4 Quartos,5 Banheiros,3 Vagas,"Mobiliado
Elevador
Piscina
Área de serviço
Churrasqueira",R$ 22.000 /mês,R$ 4.016,Florianópolis,2021-05-24 01:25
2517729229,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-55m2-aluguel-RS1450-id-2517729229/,"Apartamento com 2 Quartos para Aluguel, 55m²","Rua Europa - Trindade, Florianópolis - SC",55,2 Quartos,1 Banheiro,-- Vaga,,R$ 1.450 /mês,R$ 444,Florianópolis,2021-05-24 01:25
2520012995,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santinho-bairros-florianopolis-com-garagem-105m2-aluguel-RS4000-id-2520012995/,"Apartamento com 2 Quartos para Aluguel, 105m²","Estrada Vereador Onildo Lemos, 2345 - Santinho, Florianópolis - SC",105,2 Quartos,2 Banheiros,2 Vagas,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",R$ 4.000 /mês,R$ 960,Florianópolis,2021-05-24 01:25
2497353689,https://www.vivareal.com.br/imovel/apartamento-1-quartos-itacorubi-bairros-florianopolis-com-garagem-55m2-aluguel-RS1300-id-2497353689/,"Apartamento com Quarto para Aluguel, 55m²","Servidão Laje de Pedra - Itacorubi, Florianópolis - SC",55,1 Quarto,1 Banheiro,1 Vaga,"Elevador
Piscina
Churrasqueira
Salão de festas
Academia",R$ 1.300 /mês,R$ 675,Florianópolis,2021-05-24 01:25
2519811032,https://www.vivareal.com.br/imovel/apartamento-3-quartos-estreito-bairros-florianopolis-com-garagem-107m2-aluguel-RS3500-id-2519811032/,"Apartamento com 3 Quartos para Aluguel, 107m²","Rua Libia Cruz, 546 - Estreito, Florianópolis - SC",107,3 Quartos,2 Banheiros,2 Vagas,"Elevador
Piscina
Área de serviço
Churrasqueira
Salão de festas",R$ 3.500 /mês,R$ 250,Florianópolis,2021-05-24 01:25
2518933760,https://www.vivareal.com.br/imovel/apartamento-3-quartos-trindade-bairros-florianopolis-com-garagem-73m2-aluguel-RS1500-id-2518933760/,"Apartamento com 3 Quartos para Aluguel, 73m²","Rua Luiz Oscar de Carvalho, 74 - Trindade, Florianópolis - SC",73,3 Quartos,1 Banheiro,1 Vaga,"Salão de festas
Playground
Jardim
Quadra poliesportiva
Condomínio fechado",R$ 1.500 /mês,R$ 454,Florianópolis,2021-05-24 01:25
2514735852,https://www.vivareal.com.br/imovel/apartamento-3-quartos-itacorubi-bairros-florianopolis-com-garagem-99m2-aluguel-RS1900-id-2514735852/,"Apartamento com 3 Quartos para Aluguel, 99m²","Itacorubi, Florianópolis - SC",99,3 Quartos,2 Banheiros,1 Vaga,"Salão de festas
Playground
Varanda
Jardim
Circuito de segurança",R$ 1.900 /mês,R$ 500,Florianópolis,2021-05-24 01:25
2517978700,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-60m2-aluguel-RS1190-id-2517978700/,"Apartamento com 2 Quartos para Aluguel, 60m²","Rua João Pinto, 52 - Centro, Florianópolis - SC",60,2 Quartos,1 Banheiro,-- Vaga,"Mobiliado
Elevador
Condomínio fechado
Aceita animais
Acesso para deficientes",R$ 1.190 /mês,R$ 370,Florianópolis,2021-05-24 01:25
2520065219,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-69m2-aluguel-RS2180-id-2520065219/,"Apartamento com 2 Quartos para Aluguel, 69m²","Rua Pastor William Richard Schisler Filho - Itacorubi, Florianópolis - SC",69,2 Quartos,2 Banheiros,1 Vaga,"Elevador
Churrasqueira
Salão de festas
Playground
Salão de jogos",R$ 2.180 /mês,R$ 622,Florianópolis,2021-05-24 01:25
2515542130,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-78m2-aluguel-RS2800-id-2515542130/,"Apartamento com 2 Quartos para Aluguel, 78m²","Rua Duarte Schutel - Centro, Florianópolis - SC",78,2 Quartos,2 Banheiros,2 Vagas,"Elevador
Piscina
Churrasqueira
Salão de festas
Academia",R$ 2.800 /mês,R$ 960,Florianópolis,2021-05-24 01:25
2519592471,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-70m2-aluguel-RS1950-id-2519592471/,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Leonel Pereira, 165 - Cachoeira do Bom Jesus, Florianópolis - SC",70,2 Quartos,2 Banheiros,1 Vaga,,R$ 1.950 /mês,R$ 500,Florianópolis,2021-05-24 01:25
2512991673,https://www.vivareal.com.br/imovel/apartamento-3-quartos-beira-mar-bairros-florianopolis-com-garagem-168m2-aluguel-RS3000-id-2512991673/,"Apartamento com 3 Quartos para Aluguel, 168m²","Avenida Governador Irineu Bornhausen - Beira Mar, Florianópolis - SC",168,3 Quartos,2 Banheiros,2 Vagas,"Elevador
Salão de festas
Playground
Ar-condicionado
Salão de jogos",R$ 3.000 /mês,R$ 1.468,Florianópolis,2021-05-24 01:25
2520546673,https://www.vivareal.com.br/imovel/apartamento-2-quartos-abraao-bairros-florianopolis-com-garagem-63m2-aluguel-RS1150-id-2520546673/,"Apartamento com 2 Quartos para Aluguel, 63m²","Abraão, Florianópolis - SC",63,2 Quartos,1 Banheiro,1 Vaga,,R$ 1.150 /mês,R$ 371,Florianópolis,2021-05-24 01:25
2519612505,https://www.vivareal.com.br/imovel/apartamento-3-quartos-carvoeira-bairros-florianopolis-com-garagem-89m2-aluguel-RS3500-id-2519612505/,"Apartamento com 3 Quartos para Aluguel, 89m²","Avenida César Seara - Carvoeira, Florianópolis - SC",89,3 Quartos,3 Banheiros,1 Vaga,"Mobiliado
Elevador
Salão de festas
Academia
Ar-condicionado",R$ 3.500 /mês,R$ 1,Florianópolis,2021-05-24 01:25
2512158182,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-25m2-aluguel-RS1300-id-2512158182/,"Apartamento com Quarto para Aluguel, 25m²","Avenida Luiz Boiteux Piazza, 2888 - Cachoeira do Bom Jesus, Florianópolis - SC",25,1 Quarto,1 Banheiro,1 Vaga,,R$ 1.300 /mês,R$ 90,Florianópolis,2021-05-24 01:25
2520770202,https://www.vivareal.com.br/imovel/apartamento-3-quartos-santinho-bairros-florianopolis-com-garagem-168m2-aluguel-RS8000-id-2520770202/,"Apartamento com 3 Quartos para Aluguel, 168m²","Estrada Vereador Onildo Lemos, 2345 - Santinho, Florianópolis - SC",168,3 Quartos,4 Banheiros,2 Vagas,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",R$ 8.000 /mês,,Florianópolis,2021-05-24 01:25
2519614624,https://www.vivareal.com.br/imovel/apartamento-1-quartos-trindade-bairros-florianopolis-48m2-aluguel-RS1850-id-2519614624/,"Apartamento com Quarto para Aluguel, 48m²","Rua Douglas Seabra Levier, 163 - Trindade, Florianópolis - SC",48,1 Quarto,1 Banheiro,-- Vaga,"Mobiliado
Elevador
Piscina
Churrasqueira
Salão de festas",R$ 1.850 /mês,,Florianópolis,2021-05-24 01:25
2517731273,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-48m2-aluguel-RS1400-id-2517731273/,"Apartamento com 2 Quartos para Aluguel, 48m²","Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",48,2 Quartos,1 Banheiro,1 Vaga,,R$ 1.400 /mês,R$ 285,Florianópolis,2021-05-24 01:25
2516803996,https://www.vivareal.com.br/imovel/apartamento-4-quartos-agronomica-bairros-florianopolis-com-garagem-173m2-aluguel-RS4500-id-2516803996/,"Apartamento com 4 Quartos para Aluguel, 173m²","Rua Frei Caneca, 320 - Agronômica, Florianópolis - SC",173,4 Quartos,3 Banheiros,2 Vagas,"Elevador
Piscina
Área de serviço
Salão de festas
Varanda",R$ 4.500 /mês,R$ 1.655,Florianópolis,2021-05-24 01:25
2519614082,https://www.vivareal.com.br/imovel/apartamento-3-quartos-carvoeira-bairros-florianopolis-com-garagem-89m2-aluguel-RS3500-id-2519614082/,"Apartamento com 3 Quartos para Aluguel, 89m²","Avenida César Seara - Carvoeira, Florianópolis - SC",89,3 Quartos,3 Banheiros,1 Vaga,"Mobiliado
Elevador
Salão de festas
Academia
Ar-condicionado",R$ 3.500 /mês,R$ 1,Florianópolis,2021-05-24 01:25
2519965507,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-florianopolis-48m2-aluguel-RS1400-id-2519965507/,"Apartamento com Quarto para Aluguel, 48m²","Rua Padre Roma, 59 - Centro, Florianópolis - SC",48,1 Quarto,1 Banheiro,-- Vaga,Armário embutido,R$ 1.400 /mês,R$ 344,Florianópolis,2021-05-24 01:25
